"Boruto","https://dw9to29mmj727.cloudfront.net/properties/2016/1363-SeriesThumbnail_BorutoAnime_400x320_v2.jpg","0"
"koisuru michiru ojou sama","https://cdn.mangahub.io/file/imghub/koisuru-michiru-ojou-sama/1/1.jpg","1"
"Black Clover","https://www.nautiljon.com/images/more/00/96/72069.jpg","2"
"Death Note","https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/intermediary/f/1913ba64-f52f-4dfc-b544-c1a0bc12b19d/d1xmeas-dfba9f91-c8c4-40fc-8370-c44369865a01.jpg","3"
"My Hero Academia","https://cdn.shopify.com/s/files/1/0747/3829/products/mz1096_1024x1024.jpeg?v=1485014933","4"
"One Punch Man","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-SbmjrnooAVSd5hgT6E0ZV5-cJVdA2JXS0QEuozYvWLPFwEa5","5"
"Nanatsu no Taizai","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0jtzI_YKV3K3slsmTZF8PseEMqZs7YgRAqXyHddXOAQDWAAl_","6"
"Boruto","https://dw9to29mmj727.cloudfront.net/properties/2016/1363-SeriesThumbnail_BorutoAnime_400x320_v2.jpg","7"
"Naruto","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYFxl5f5XsfVoTJbGeC2o77e44IxXB_tUvi7nAS9mSAnQC2ZTx","8"
"Attack on Titan","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvoovvtrjdU7LD1Lb2MdbWXKyBl_69rVQrKIkFV_6miNxnPJvI","9"
